Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
Virgin Mobile Latin America,https://www.crunchbase.com/organization/virgin-mobile-latin-america,"Mobile, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","VMLA is the largest and fastest growing mobile virtual operator with operations in Mexico, Colombia, Chile and Peru.","47,703",Latin America,$500M to $1B,Active,01/01/2010,year,,,,,For Profit,http://www.virginmobilelatam.com,,https://www.facebook.com/virginmobileco,,virgindigital@virginmobile.co,+57 1 800 0937171,9,,"The Virgin Group is a leading international branded investment company and one of the world's most recognized and respected brands.  Conceived in 1970 by Sir Richard Branson, the Virgin Group has gone on to grow successful businesses in sectors ranging from mobile telephony and media to transportation, travel, financial services, hotels, health and fitness, as well as renewable technologies and space tourism. Virgin has created more than 400 branded companies worldwide, employing approximately 50,000 people, in 29 countries.  Its Global branded revenues in 2010 exceeded £11.5 billion (approx. US$18.5 billion).",,,,,,,,,,,,,,"Hardware, Mobile",4,"Jay Metcalfe, Peter Langkilde, Peter Macnee, Phil Wallace",501-1000,2,Late Stage Venture,16/02/2013,20000000,USD,20000000,Series C,20000000,USD,20000000,Series C,46500000,USD,46500000,46500000,USD,46500000,"Virgin Group, ePlanet Capital, Hermes Growth Partners, Souter Investments, Archimedia",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,456",13,2,"6,377",10,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Canacol Energy,https://www.crunchbase.com/organization/canacol-energy,"Energy, Energy Efficiency, Oil and Gas, Renewable Energy","Bogotá, Distrito Especial, Colombia",Canacol Energy Ltd. is a Canadian-based international junior energy company.,"49,057",Latin America,$10M to $50M,Active,01/01/2008,year,16/08/1996,day,,,For Profit,http://www.canacolenergy.com/s/home.asp,,https://www.facebook.com/pages/Canacol-Energy/455522574562038,https://www.linkedin.com/company/canacol-energy-ltd,Supplier-Bogota@canacolenergy.com,(571)621-1747,5,,"Canacol Energy Ltd. is a Canadian-based international junior energy company with production and exploration operations located in South America. The Corporation’s operations are focused in Colombia, Brazil, and Guyana, with offices located in Calgary, Bogota and Rio de Janeiro. The mandate of the Corporation is to build a stable operated production platform, and leverage operational expertise to grow through exploration in each of its focus countries.",,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",2,"Charle Gamba, David Winter",Nov-50,1,IPO,10/11/2014,100000000,USD,100000000,Post-IPO Equity,100000000,USD,100000000,Post-IPO Equity,100000000,USD,100000000,100000000,USD,100000000,,,,,,,,,,,,,,,,,Public,16/08/1996,,,,,,,,,CNE,https://www.crunchbase.com/ipo/canacol-energy-ipo--92276a69,TSX - Toronto Stock Exchange,,,"50,861",31,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Datawifi,https://www.crunchbase.com/organization/datawifi,"Internet, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","Lead platform in LATAM that helps you to acquire, and qualify sale leads using WiFi networks.","49,411",Latin America,$1M to $10M,Active,01/01/2019,year,,,,,For Profit,https://www.datawifi.co/,,,https://www.linkedin.com/company/datawifi/,wifi@datawifi.co,+57 301 6604857,13,,"We help to connect more than 20MM of unique users in Latin America. Datawifi is an analysis, marketing, and communication platform that uses Wi-Fi networks to attract, retain, and reward its consumers. Datawifi helps you grow your offline presence using your WiFi network. Our platform helps you to know precisely the behavior of the target public, experts in solutions for Government, Retail, Restaurants, and Hospitality.",,,,,,,,,,,,,,"Hardware, Internet Services, Mobile",3,"Andres Gomez, Edwin Pardo, Maria Claudia Osorio Piedrahita",Nov-50,4,Seed,07/12/2019,110000,USD,110000,Pre-Seed,110000,USD,110000,Pre-Seed,330000,USD,330000,490000,USD,490000,"IBM, Morro Ventures",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,231",15,,,16,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
EdgeUno,https://www.crunchbase.com/organization/edgeuno,Internet,"Bogotá, Distrito Especial, Colombia","EdgeUno is a Internet, Datacenter and Managed Services provider in Latin America","49,572",Latin America,$1M to $10M,Active,01/01/2018,year,,,,,For Profit,https://edgeuno.com/,,,https://www.linkedin.com/company/edgeuno/,support@edgeuno.com,-3054,1,,"Our portfolio of professional turnkey infrastructure services, deployment, and solutions is the region`s best choice for companies of all sizes who are seeking edge computing and content delivery capabilities with the lowest latency and highest availability. Backed by our customer-obsessed support network of highly specialized professionals, EdgeUno is the partner you need to make your access and expansion to Latin America easy and hassle-free. EdgeUno was founded in Silicon Valley by a team of innovative executives with backgrounds in Equinix, Microsoft, and Yahoo!",,,,,,,,,,,,,,Internet Services,2,"Lane Patterson, Mehmet Akcin",51-100,1,Seed,04/01/2018,500000,USD,500000,Pre-Seed,500000,USD,500000,Pre-Seed,500000,USD,500000,500000,USD,500000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,398",32,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
ImagineX,https://www.crunchbase.com/organization/imaginex,"Augmented Reality, Big Data, Mobile Apps, Software, Virtual Reality","Bogotá, Distrito Especial, Colombia",ImagineX helps companies to increase their sales through digital channels using amazing visualization techs. We create new realities!,"50,150",Latin America,,Active,01/03/2018,day,,,,,For Profit,http://imagine-x.co/main_page.html,,https://www.facebook.com/ImagineXSAS/?ref=bookmarks,https://www.linkedin.com/company/imaginex-sas/?viewAsMember=true,contactenos@imagine-x.co,5719373083,8,,"ImagineX is a B2B digital-based startup that helps companies in the real state, finishing, pharmaceutical, and retail industries to increase their sales via upselling, cross-selling and prompt selling though their physical and digital channel using a unique blend of visualization technologies of the industry 4.0. We have R&D agreement with Andes University.",,,,,,,,,,,,,,"Apps, Data and Analytics, Hardware, Mobile, Software",1,Mario Varon,Nov-50,2,Seed,30/07/2020,300000,USD,300000,Seed,300000,USD,300000,Seed,550000,USD,550000,550000,USD,550000,"Upward, Mario Varon",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,994",3,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Linxe,https://www.crunchbase.com/organization/linxe-libranzas-en-línea,"Credit, Employee Benefits, Financial Services, FinTech, Sustainability, Wellness","Bogotá, Distrito Especial, Colombia","With our embedded finance platform, we are directly connected to payroll providers; this allows us to have real-time information and significantly increase monthly installment payments reliability. We want to help 90% of LATAM employees build a community of Linxers where they would have on-demand access to any product and services they need, using the payroll discount of their salary as a new payment method.","51,145",Latin America,$10M to $50M,Active,01/03/2019,day,,,,,For Profit,https://www.linxe.com/,,https://www.facebook.com/Linxe-Libranzas-en-L%C3%ADnea-442453749843827/?modal=admin_todo_tour,https://www.linkedin.com/company/firmus-sas/about/?viewAsMember=true,contacto@linxe.com,+ (57) 315 3847859,1,,"Linxe's vision is to build a truly inclusive financial services platform, one that generates credit history and provides an entry point for unbanked individuals that are too commonly overlooked by large institutional banks in Colombia and Latin America more broadly.",,,,,,,,,,,,,,"Administrative Services, Financial Services, Health Care, Lending and Investments, Sustainability",2,"Cesar Cuevas, Diego Rodríguez",01-Oct,2,Seed,15/01/2020,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,1000000,USD,1000000,Loyal VC,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,036",30,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Nethub,https://www.crunchbase.com/organization/nethub-media,"Analytics, Business Intelligence, Enterprise Software, Semantic Web","Bogotá, Distrito Especial, Colombia",Nethub offers a cloud-based tool for centralizing consumer information from any type of marketing interaction of B2C companies.,"51,821",Latin America,Less than $1M,Active,30/05/2011,day,,,,,For Profit,http://www.nethub.co,http://twitter.com/NethubCo,,,info@nethub.co,+1 (650) 353 9333,,,"Cloud based tool to centralize consumer information from any type of marketing interaction of B2C companies, that let do a natural and intuitive consumer data knowledge and profiling based on innovate semantic tagging system.",,,,,,,,,,,,,,"Data and Analytics, Internet Services, Software",2,"Alvaro Galvis, Andres Cala",Nov-50,4,Seed,01/01/2013,320000000,COP,181026,Convertible Note,42863,EUR,55672,Seed,270586,USD,270586,451612,USD,451612,"Wayra, Inversiones Montferrat, Diego Lamprea",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,735",10,,,14,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Saludtools,https://www.crunchbase.com/organization/saludtools,"Electronic Health Record (EHR), Health Care, Medical, Pharmaceutical","Bogotá, Distrito Especial, Colombia",We are about enabling better living conditions for everyone. We are a company that breaks barriers between healthcare providers and patients,"51,849",Latin America,,Active,14/09/2014,day,,,,,For Profit,https://www.saludtools.com,https://twitter.com/saludtools,https://www.facebook.com/saludtools,https://www.linkedin.com/company/carecloud-s-a-s-,admin@carecloud.com.co,,3,,"Saludtools is a digital platform that improves access, quality and reliability of medical services for thousands of patients in Latin America. Our innovative and friendly technology breaks the barriers that prevent a better medical attention. We are about making outstanding healthcare accessible for everyone.",,,,,,,,,,,,,,Health Care,2,"Camilo Naranjo Kairuz, Jon Aritz Real",Nov-50,1,Seed,25/01/2020,400000,USD,400000,Pre-Seed,400000,USD,400000,Pre-Seed,400000,USD,400000,400000,USD,400000,Rockstart,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,763",80,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
mi.tv,https://www.crunchbase.com/organization/mi-tv,"Internet, Mobile","Bogotá, Distrito Especial, Colombia","A social TV Guide for mobile and desktop, focusing on growth markets in Latin America.","52,458",Latin America,$1M to $10M,Active,01/05/2014,day,,,,,For Profit,http://www.mi.tv,https://twitter.com/mitv_co,https://www.facebook.com/mi.tv.Colombia,https://www.linkedin.com/company/mi-tv,hello@mi.tv,,22,,"mi.tv revolutionizes the way users get guidance, information and inspiration on what’s airing on TV, follow shows, be reminded of favourite programmes and share the experience with friends. Users can tailor the service to their own taste and link to social media. mi.tv recommends shows based on users’ preferences, requiring no more browsing around 300 cable TV channels to find inspiration: mi.tv will do this for you, so you never miss a thing.",,,,,,,,,,,,,,"Internet Services, Mobile",3,"Diego Vallejo Janne, Fredrik Hellström, Tomas Mazowski",Nov-50,3,Seed,01/02/2016,32000,EUR,34849,Convertible Note,1500000,SEK,171724,Angel,1500000,SEK,171724,321162,USD,321162,Propel Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,402",27,2,"4,604",12,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Hometuls,https://www.crunchbase.com/organization/hometuls,,"Bogotá, Distrito Especial, Colombia",Hometuls connects suppliers with construction projects.,"52,459",Latin America,,Active,01/01/2019,year,,,,,For Profit,https://hometuls.co/,,https://www.facebook.com/hometuls/,https://www.linkedin.com/company/hometuls/,neftaly@hometuls.co,(057) 313 333 8930,1,,"Hometuls is a platform that connects products and services with construction and infrastructure projects through data. Hometuls built a data-driven business model, where we process thousands of construction projects and connect them with suppliers that can meet their needs. Hometuls allow builders to digitise the procurement process, and suppliers to have a sales channel for the long-tail of builders in an effective way. We are focused on the SME segment of construction companies, which represents more than 90% of the market.",,,,,,,,,,,,,,,,,01-Oct,2,Seed,31/12/2020,295000,USD,295000,Pre-Seed,295000,USD,295000,Pre-Seed,375000,USD,375000,375000,USD,375000,"Start-Up Chile, Parallel18, Kalei Ventures, Winnipeg Capital",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,403",45,,,21,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
ERCO,https://www.crunchbase.com/organization/erco,"Electric Vehicle, Energy, Energy Storage, Renewable Energy, Solar","Medellín, Antioquia, Colombia",We build and manage Distributed Generation (DG) energy systems for industrial and commercial clients. #1 EPC in Colombia.,"52,870",Latin America,,Active,15/11/2012,day,,,,,For Profit,http://www.ercoenergia.com.co/,https://twitter.com/ErcoEnergia,https://www.facebook.com/ercoenergiarenovable/,https://www.linkedin.com/company/erco-energ%C3%ADa-s-a-s/,comercial@ercoenergia.com.co,,,,"We build Solar PV, EV infrastructure and Electric Energy Storage systems. Erco was founded in 2012 and is based in Medellín,Colombia with offices in Cali and Bogotá.",,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability, Transportation",2,"Juan Camilo López, Juan Esteban Hincapié Rivera",Nov-50,2,Early Stage Venture,01/11/2018,600000,USD,600000,Debt Financing,400000,USD,400000,Series A,400000,USD,400000,1000000,USD,1000000,FCP Emprendimiento e Innovación SP,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,830",12,,,20,,,,,,,,,Colombia,Medellín,Antioquia,0
Valtik Foods,https://www.crunchbase.com/organization/valtik-foods,"Energy, Fitness, Food and Beverage, Food Processing, Health Care, Nutrition, Sports","Bogotá, Distrito Especial, Colombia","Valtik Foods develops fast-absorbing hydration mixes, energy bars, energy chews and the RTD protein shakes under the trademark TITANIUM.","52,981",Latin America,,Active,01/04/2014,month,,,,,For Profit,https://www.titaniumstore.co,https://twitter.com/tomatitanium,https://www.facebook.com/tomatitanium,https://www.linkedin.com/company/valtik-foods,contacto@valtikfoods.com,5.73115E+11,2,,"Valtik Foods develops fast-absorbing hydration mixes under the trademark TITANIUM that provides faster hydration avoiding stomach distress both for the amateur and the endurance athlete. These hydration mixes are segmented by sport category adapted to each sport’s specific needs.  They also manufature energy bars with protein, energy chews and RTD protein shakes. Valtik Foods has operations in Colombia, Mexico and Costa Rica.",,,,,,,,,,,,,,"Energy, Food and Beverage, Health Care, Sports",2,"Camilo Andrés Mora Osorio, Omar David Huertas Gómez",Nov-50,1,Seed,01/03/2019,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,leAD Sports & Health Tech Partners,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,946",41,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Licify,https://www.crunchbase.com/organization/licify,"Construction, Procurement, SaaS","Bogotá, Distrito Especial, Colombia","Specialized procurment management platform that generates an efficient and transparent community with developers, contractors and suppliers.","54,430",Latin America,$1M to $10M,Active,01/09/2017,month,,,,,For Profit,https://www.licify.co/,https://twitter.com/Licify,https://www.facebook.com/licify.licify?ref=br_rs,https://www.linkedin.com/company/licifylicify/,contacto@licify.co,+57 (1) 6101648,,,"Licify, a procurement cloud-based platform specialized in the construction industry, has redefined interactions between developers, contractors, sub-contractors and suppliers. It creates a community developing transparent and efficient realtionships allthrough the value chain. This improves the procurement and supply processes, generating savings and increasing profitability.",,,,,,,,,,,,,,"Real Estate, Software, Transportation",3,"Daniel Linero, Fernando Olloqui, Ricardo Wills",Nov-50,1,Seed,10/11/2017,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,150000,USD,150000,Cumbria Holding,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,4,"56,453",89,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Ocensa,https://www.crunchbase.com/organization/ocensa,Oil and Gas,"Bogotá, Distrito Especial, Colombia",Ocensa Colombia's crude oil transportation system.,"54,984",Latin America,,Active,16/12/1994,day,,,,,For Profit,https://www.ocensa.com.co/,,,,,,6,,Ocensa Colombia's crude oil transportation system.,,,,,,,,,,,,,,"Energy, Natural Resources",,,251-500,1,Private Equity,13/11/2013,1100000000,USD,1100000000,Private Equity,1100000000,USD,1100000000,Private Equity,1100000000,USD,1100000000,1100000000,USD,1100000000,Advent International,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"57,036",46,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
