,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
144,Sammu,https://www.crunchbase.com/organization/sammu,"Computer, SaaS, Software","Medellín, Antioquia, Colombia",Sammu is a SAAS that allows the collection of information and the control of production plants through mobile devices in real time.,"90,335",Latin America,,Active,2017-03-01,day,,,,,For Profit,http://www.sammu.com.co/,,https://www.facebook.com/pg/sammuapp/,https://www.linkedin.com/company/sammu/,hola@sammu.com.co,,,,"Sammu is a SAAS that allows the collection of information and the control of production plants through mobile devices in real time. In the production plant each employee has a Tablet that allows him to collect and visualize the information, in this way all the production personnel can know in what state the efficiency of the plant is.",,,,,,,,,,,,,,"Consumer Electronics, Hardware, Software",2.0,"Cristian Gallego, Joseph Gallego",1-10,2.0,Seed,2019-01-17,40000,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,80000.0,USD,80000.0,80000.0,USD,80000.0,Start-Up Chile,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"94,157",25.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
145,Tribo,https://www.crunchbase.com/organization/tribo,"Apps, Consumer, Consumer Reviews, Market Research, Social","Bogotá, Distrito Especial, Colombia",Recommendations that match your taste,"91,104",Latin America,$1M to $10M,Active,2017-02-01,month,,,,,For Profit,http://www.tribo.io,https://twitter.com/TriboRecommends,https://www.facebook.com/TriboRecommends/,https://www.linkedin.com/company/11290617/,andrea@tribo.io,+57 (316) 578-9718,5,,,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Design, Other, Software",3.0,"Juan David Gomez, Julian Franky, Maria Andrea Gonzalez",1-10,2.0,Seed,2017-06-01,110000,USD,110000.0,Seed,110000.0,USD,110000.0,Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,Luis Alberto Gonzalez,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"94,970",42.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
146,StartBull,https://www.crunchbase.com/organization/startbull,"Financial Services, Internet, Social Media, Social Network","Bogotá, Distrito Especial, Colombia","StartBull enables individuals to invest in capital markets by providing an exchange simulator, educational articles, and competitions. Rafa","92,011",Latin America,,Active,2011-01-01,year,,,,,For Profit,http://www.startbull.com,http://twitter.com/StartBull,http://www.facebook.com/StartBull.LATAM,https://www.linkedin.com/company/startbull-com/about/,s.pineda@startbull.com,+57 1 5409991,,,"Permitirle a cualquier persona invertir en los mercados de capitales, construyendo una experiencia innovadora, responsable, asequible, social y global. Buscando en todo momento el beneficio de TODAS las personas en contacto con StartBull. Provide a space of collective knowledge through the networking of people interested and involved in the capital market, in a responsibly and transparent way.",,,,,,,,,,,,,,"Financial Services, Internet Services, Media and Entertainment",3.0,"Juan Gonzalez, Juan Pineda, Santiago Pineda",1-10,5.0,Seed,2014-07-01,248123000,COP,132547.0,Grant,100000.0,EUR,129903.0,Angel,229667.0,USD,229667.0,402215.0,USD,402215.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"95,936",3.0,,,10.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
147,We Are Content LLC,https://www.crunchbase.com/organization/we-are-content,"Content, Marketplace, Online Portals","Bogotá, Distrito Especial, Colombia",We are the most important content marketplace in the Hispanic Market,"92,600",Latin America,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://www.wearecontent.com,https://twitter.com/wacontent,https://www.facebook.com/wacontent/,https://www.linkedin.com/in/wearecontent,info@wearecontent.com,(305)424-5064,,,We develop the most important content marketplace for the hispanic market.,,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Media and Entertainment",2.0,"Juan Carlos Samper, Paola Benrey",1-10,1.0,Seed,2015-02-01,300000,USD,300000.0,Seed,300000.0,USD,300000.0,Seed,300000.0,USD,300000.0,300000.0,USD,300000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"96,561",52.0,,,24.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
148,Soy Startup Latam,https://www.crunchbase.com/organization/soy-startup,"EdTech, Education, Information Technology, Software","Bogotá, Distrito Especial, Colombia",Online Startup School with Spanish-first content for Latin American Founders,"92,821",Latin America,,Active,2020-06-01,day,,,,,For Profit,https://soy-startup.com/,,,http://www.linkedin.com/company/soy-startup,hola@soy-startup.com,,,,"Insights, inspiration and education from the world of global and local startups. Spanish-first content for 450M Latin Americans.",,,,,,,,,,,,,,"Education, Information Technology, Software",2.0,"David Salinas, Felipe Salinas",1-10,1.0,Seed,2021-01-01,27000,USD,27000.0,Pre-Seed,27000.0,USD,27000.0,Pre-Seed,27000.0,USD,27000.0,27000.0,USD,27000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"96,793",15.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
149,SafeTalpa,https://www.crunchbase.com/organization/safetalpa,"Cloud Security, Cyber Security, Financial Services, FinTech, IaaS, Information Technology","Bogotá, Distrito Especial, Colombia",Saving organizations from online financial fraud,"92,975",Latin America,,Active,2018-01-01,year,,,,,For Profit,https://www.safetalpa.com/,,,,sales@safetalpa.com,,6,,,,,,,,,,,,,,,,"Financial Services, Information Technology, Privacy and Security, Software",2.0,"Esteban Vargas, Juan Sanmiguel",1-10,5.0,Seed,2019-07-15,1000,USD,1000.0,Grant,35000.0,USD,35000.0,Pre-Seed,42250.0,USD,42250.0,47950.0,USD,47950.0,"Exponential Impact, Pioneer, Jeff Meyerson, Esteban Dalel",1.0,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"96,953",11.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
150,Betriax,https://www.crunchbase.com/organization/betriax,"Financial Exchanges, Financial Services, FinTech, Marketplace, Peer to Peer","Bogotá, Distrito Especial, Colombia",Peer-to-peer Spot Foreign Exchange Marketplace for SME companies in Latin America. We believe in transparency and efficiency.,"94,451",Latin America,,Active,2018-08-14,day,,,,,For Profit,https://www.betriax.com/,https://twitter.com/Betriax2,https://www.facebook.com/betriax/,https://www.linkedin.com/company/betriax/,informes@betriax.com,,3,,Betriax serves SME through a transparent foreign exchange marketplace where companies fix the exchange rate between them. Our 100% banked model let companies to exchange their US Dollars and local currencies at the most convenient rates. Powered by The Founder Institute.,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments, Other",1.0,Roberto Vargas,1-10,1.0,Seed,2019-07-31,40000,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,40000.0,USD,40000.0,Start-Up Chile,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"98,501",19.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
151,Agros,https://www.crunchbase.com/organization/agros,"Agriculture, Database, Software","Perú, Valle del Cauca, Colombia",Agros is specialize in AgroInteligencia that provides solutions for Online Monitoring and Data Analysis of the production,"94,598",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,https://agros.tech/,,https://www.facebook.com/AgrosOficial/,,consultus@sinergia4.tech,+51 73 624665,,,"We are a company specialized in AgroInteligencia that provides solutions for Online Monitoring and Data Analysis of the production, industrial and logistics processes of the agri-food sector.",,,,,,,,,,,,,,"Agriculture and Farming, Data and Analytics, Software",,,101-250,1.0,,2019-11-22,250000,USD,250000.0,Grant,,,,,,,,250000.0,USD,250000.0,MIT Inclusive Innovation Challenge,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"98,655",10.0,,,,,,,,,,,,Colombia,Perú,Valle del Cauca,0
152,Sarta,https://www.crunchbase.com/organization/sarta-2,"Fashion, Lifestyle, Shopping","Bogotá, Distrito Especial, Colombia",Contact us for our exclusive showroom go and rent the dress you choose.,"95,844",Latin America,Less than $1M,Active,2012-07-01,day,,,,,For Profit,http://www.sarta.com.co/,,http://www.facebook.com/SartaColombia,http://www.linkedin.com/company/3182680,comercial@sartavestidos.com,+57 319 2568508,,,"In Sarta Dresses understand what it means for us to have a party. For this we create the best opción.Compra in Sarta the perfect dress smartly; enjoy it and we sell it. New and nearly new dresses from big brands like Nicole Miller, BCBG, Talbot Tunhof including discount between 10 and 70%.",,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",,,1-10,2.0,Seed,2014-06-01,300000000,COP,158005.0,Convertible Note,91000000.0,COP,47279.0,Seed,91000000.0,COP,47279.0,391000000.0,COP,205284.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"99,958",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
153,Loopa,https://www.crunchbase.com/organization/loopa,"E-Learning, EdTech, Education, Edutainment, Internet, Robotics, Software, Training","Cali, Valle del Cauca, Colombia",Learn programming through interactive courses.,"96,267",Latin America,,Active,2016-01-01,month,,,,,For Profit,http://loopa.io,https://twitter.com/loopadev,https://www.facebook.com/loopa.io/,,info@loopa.io,+573147742329,,,"Loopa is an e-learning platform based in Colombia that teaches the latest and most demanded technologies for web and mobile development through interactive courses and coding challenges, 100% in Spanish. Courses are organized into learning careers and provide to their students the knowledge, concepts and enough experience to become profesional developers. Additionally, in order to increase the completion rate, their platform has a much more human approach to the teaching process, due to the fact that it promotes the interaction among students and mentors of a course in real time through chats and online live classes.  Their goals are: • Democratize and universalize education in Latin America, encouraging people to learn what they need to become professional developers in their mother tongue. • Contribute to reduce the deficit of qualified developers in the region, which in average is superior to 62%. • Make more accessible software development technologies to ethnically marginalized communities, in order to provide them the right tools to improve their quality of life. ￼",,,,,,,,,,,,,,"Education, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software",,,1-10,1.0,Seed,2016-06-01,20000,USD,20000.0,Seed,20000.0,USD,20000.0,Seed,20000.0,USD,20000.0,20000.0,USD,20000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"100,415",27.0,,,7.0,,,,,,,,,Colombia,Cali,Valle del Cauca,0
154,Omni,https://www.crunchbase.com/organization/omni-64ae,"Automotive, Freight Service, Logistics, Transportation","Bogotá, Distrito Especial, Colombia",Transport services in Colombia.,"96,984",Latin America,,Active,2012-06-07,day,,,,,For Profit,https://www.omni.com.co,,,,smorales@omni.com.co,,,,,,,,,,,,,,,,,,Transportation,,,1-10,2.0,Seed,2018-03-05,25000,USD,25000.0,Seed,25000.0,USD,25000.0,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,Tegel Ventures,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"101,174",16.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
155,Izzy Money,https://www.crunchbase.com/organization/izzy-money,"Finance, Mobile, Mobile Apps","Bogotá, Distrito Especial, Colombia",Izzy Money provides a mobile platform for managing money and cost control.,"97,116",Latin America,,Closed,2012-01-01,year,,,,none,For Profit,http://www.izzy-money.com/,http://twitter.com/money_izzy,http://www.facebook.com/IzzyMoneyApp,,,,,,,,,,,,,,,,,,,,"Apps, Financial Services, Mobile, Software",,,,1.0,Seed,2013-09-01,91000000,COP,46913.0,Seed,91000000.0,COP,46913.0,Seed,91000000.0,COP,46913.0,91000000.0,COP,46913.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"101,314",1.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
156,Appflow,https://www.crunchbase.com/organization/appflow,"Business Development, Information Services, Information Technology, SaaS, Software, Web Design","Bogotá, Distrito Especial, Colombia","Appflow allows companies to automate business processes, no coding required.","98,362",Latin America,Less than $1M,Active,2014-02-01,day,,,,,For Profit,http://www.appflow.com.co,,,https://www.linkedin.com/company/appflow/about/,,,1,,"AppFlow is a powerful web platform that allows companies to automate business processes they currently manage with excel forms and email, no coding required. ",,,,,,,,,,,,,,"Design, Information Technology, Professional Services, Software",1.0,Javier Martinez Sintes,1-10,1.0,,2017-02-01,100000,USD,100000.0,Convertible Note,,,,,,,,100000.0,USD,100000.0,Right Side Capital Management,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"102,641",11.0,,,14.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
157,Ekkofy,https://www.crunchbase.com/organization/ekkofy,"Advertising, Marketing, Marketing Automation, Mobile Apps, Software","Bogotá, Distrito Especial, Colombia",Referral Ekkosystem - WOM an referral Social Platform.,"98,447",Latin America,,Active,2019-10-03,day,,,,,For Profit,https://www.ekkofy.com/,,,https://www.linkedin.com/company/ekkofy/,,+573103469972,,,Ekkofy - Referral Ekkosystem - Word of mouth and referral social platform.,,,,,,,,,,,,,,"Advertising, Apps, Mobile, Sales and Marketing, Software",1.0,Daniel Palis,1-10,1.0,Seed,2020-02-15,150000,USD,150000.0,Pre-Seed,150000.0,USD,150000.0,Pre-Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"102,731",27.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
158,Vosavos,https://www.crunchbase.com/organization/vosavos,"Child Care, Recruiting","Bogotá, Distrito Especial, Colombia",Vosavos is an online platform that enables individuals to recruit certified house cleaners.,"98,796",Latin America,$10M to $50M,Active,2013-01-01,year,,,,,For Profit,https://www.hogaru.com/,https://twitter.com/vosavoscol,https://es-es.facebook.com/suVOSAVOS,https://www.linkedin.com/company/vosavos-com,contacto@vosavos.com,(322) 235-4728,,,"Vosavos is an online platform that enables individuals to recruit certified house cleaners, and childcare and adult care professionals. Clients can go through background-checked professionals whose profiles contain work experience, references, and legal histories. Using multi-criteria algorithm, individuals can select professionals best-suited to each of their needs. Vosavos  Now HOGARU. was launched in 2013 and is based in Bogota, Columbia.",,,,,,,,,,,,,,"Health Care, Professional Services",3.0,"Gonzalo Rodriguez, Matteo Cera, Oscar Peña",1-10,2.0,Seed,2015-04-01,750000000,COP,291259.0,Seed,750000000.0,COP,291259.0,Seed,750000000.0,COP,291259.0,932000000.0,COP,372750.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"103,096",4.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
159,Mis Finanzas Personales,https://www.crunchbase.com/organization/mis-finanzas-personales,"FinTech, Personal Finance","Bogotá, Distrito Especial, Colombia",PFM - Fintech,"99,483",Latin America,,Active,2020-01-22,day,,,,,For Profit,https://misfinanzaspersonales.co,https://www.twitter.com/MisFinanzasCo,https://www.facebook.com/MisFinanzasCo,https://www.linkedin.com/in/juan-camilo-gonzalez-finanzas-personales/,juancamilo@misfinanzaspersonales.co,+573156667632,,,MisFinanzasPersonales.Co is a digital financial advisor. We help millenials and centenials making better financial decisions and choose wisely their financial products.,,,,,,,,,,,,,,Financial Services,1.0,Juan Camilo González Trujillo,1-10,1.0,Seed,2020-01-22,10000,USD,10000.0,Pre-Seed,10000.0,USD,10000.0,Pre-Seed,10000.0,USD,10000.0,10000.0,USD,10000.0,Juan Camilo González Trujillo,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"103,820",52.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
160,Franquicias LATAM,https://www.crunchbase.com/organization/franquicias-latam,Lead Generation,"Bogotá, Distrito Especial, Colombia",Lead Generation for Businesses and Franchises,"99,834",Latin America,,Active,2014-01-01,year,,,,,For Profit,https://franquiciaslatam.co/,,https://www.facebook.com/franquiciaslatam.co/,https://www.linkedin.com/company/10461452/admin/,dseneor@franquiciaslatam.co,+57-1-937 04 69,,,"Franquicias LATAM is a smart and fun lead generation hub for businesses and franchises in Latin America, Europe, and the US.",,,,,,,,,,,,,,Sales and Marketing,1.0,Daniel Seneor,11-50,1.0,Seed,2015-08-08,250000,USD,250000.0,Seed,250000.0,USD,250000.0,Seed,250000.0,USD,250000.0,250000.0,USD,250000.0,Inter American Development Bank,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"104,191",25.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
161,Nibi,https://www.crunchbase.com/organization/nibi,"Social Entrepreneurship, Software","Bogotá, Distrito Especial, Colombia",Connecting people and companies with impact actions building sustainable habits in LATAM,"100,448",Latin America,,Active,2018-12-06,day,,,,,For Profit,https://www.nibi.com.co/,,https://www.facebook.com/NibiColombia,https://www.linkedin.com/company/nibilatam/,jairo@nibi.com.co,+57 3154308744,,,We are connecting people and companies with impact actions building sustainable habits.,,,,,,,,,,,,,,"Community and Lifestyle, Software",1.0,Juan Ignacio Rubio,1-10,2.0,Seed,2019-09-09,25000,USD,25000.0,Pre-Seed,25000.0,USD,25000.0,Pre-Seed,35000.0,USD,35000.0,35000.0,USD,35000.0,COLABORATIVOx,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"104,847",39.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
162,TrendyTrade,https://www.crunchbase.com/organization/trendytrade,"Data Mining, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Financial market data meets crowd sourced sentiment analysis. Find the trendiest trades and smart insights to smarten up your investment.,"100,720",Latin America,,Active,2015-01-01,year,,,,,For Profit,https://www.trendytrade.com,https://twitter.com/trendytradepd?lang=en,https://www.facebook.com/trendytradepd,https://www.linkedin.com/company-beta/10477850/?pathWildcard=10477850,contact@trendytrade.com,,4,,Financial market data meets crowd sourced sentiment analysis. Find the trendiest trades and smart insights to smarten up your investment.,,,,,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology",2.0,"Esteban Peñaloza, Jorge Serrano",1-10,1.0,Seed,2015-09-10,260000,USD,260000.0,Seed,260000.0,USD,260000.0,Seed,260000.0,USD,260000.0,260000.0,USD,260000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"105,146",8.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
163,Protraffic,https://www.crunchbase.com/organization/protraffic,"Blockchain, Intelligent Systems, Internet of Things, Transportation","Bogotá, Distrito Especial, Colombia",Protraffic is the second largest company in the Colombian road safety industry.,"101,673",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://www.protrafico.com/index.html,https://twitter.com/protrafico,,https://www.linkedin.com/company/protrafico/?viewAsMember=true,comercial3@protrafico.com,+5719373083,7,,Protraffic is the second largest company in the Colombian road safety industry. Our integral solutions that include state of the art technologies and common road safety products increase the protection of the weakest in the Colombian roads. Right now and conjointly with Andes University we are developing a game-changing industry product known as Helmy.,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Internet Services, Other, Science and Engineering, Transportation",1.0,Mario Varon,11-50,2.0,Seed,2018-12-01,300000,USD,300000.0,Seed,300000.0,USD,300000.0,Seed,450000.0,USD,450000.0,450000.0,USD,450000.0,Mario Varon,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,166",17.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
